Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|O08601|MTP_MOUSE	O08601	MTP_MOUSE	Mttp	894	Mus musculus OX=10090	Microsomal triglyceride transfer protein large subunit 	1:Experimental evidence at protein level	1.0000	0.9990	33	33	33	298	298	298	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 14M(15.9949), 15K(28.0313), 16K(28.0313), 18K(28.0313), 19K(28.0313), 1M(15.9949), 2K(28.0313), 2M(15.9949), 5M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O08609|MLX_MOUSE	O08609	MLX_MOUSE	Mlx	298	Mus musculus OX=10090	Max-like protein X 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	15	0	15	     0	     0	     0	10K(28.0313), 11K(28.0313), 21K(28.0313), N-term(28.0313)		tr|A2BFB0|A2BFB0_MOUSE, tr|A2BFB1|A2BFB1_MOUSE
sp|O08663|MAP2_MOUSE	O08663	MAP2_MOUSE	Metap2	478	Mus musculus OX=10090	Methionine aminopeptidase 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	29	0	29	     0	     0	     0	10K(28.0313), 12K(28.0313), 19K(28.0313), 9K(28.0313), N-term(28.0313)		tr|Q3TMN1|Q3TMN1_MOUSE, tr|Q3UI33|Q3UI33_MOUSE
sp|O08677|KNG1_MOUSE	O08677	KNG1_MOUSE	Kng1	661	Mus musculus OX=10090	Kininogen-1 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	80	0	80	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 16K(28.0313), 18K(28.0313), 21K(28.0313), 5M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A0A0R4J038|A0A0R4J038_MOUSE
sp|O08715|AKAP1_MOUSE	O08715	AKAP1_MOUSE	Akap1	857	Mus musculus OX=10090	A-kinase anchor protein 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	20	20	20	     0	     0	     0	11K(28.0313), 14K(28.0313), 28K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O08738|CASP6_MOUSE	O08738	CASP6_MOUSE	Casp6	276	Mus musculus OX=10090	Caspase-6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	8	8	8	     0	     0	     0	10K(28.0313), 11K(28.0313), N-term(28.0313)		
sp|O08749|DLDH_MOUSE	O08749	DLDH_MOUSE	Dld	509	Mus musculus OX=10090	Dihydrolipoyl dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	74	74	74	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 19K(28.0313), 7K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|O08759|UBE3A_MOUSE	O08759	UBE3A_MOUSE	Ube3a	870	Mus musculus OX=10090	Ubiquitin-protein ligase E3A 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	6	20	5	20	     0	     0	     0	13K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|O08795|GLU2B_MOUSE	O08795	GLU2B_MOUSE	Prkcsh	521	Mus musculus OX=10090	Glucosidase 2 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	98	77	98	     0	     0	     0	10K(28.0313), 14K(28.0313), 17K(28.0313), 21K(28.0313), 2M(15.9949), 7K(28.0313), N-term(28.0313)		
sp|O08807|PRDX4_MOUSE	O08807	PRDX4_MOUSE	Prdx4	274	Mus musculus OX=10090	Peroxiredoxin-4 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	82	2	82	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), N-term(28.0313)		
sp|O08808|DIAP1_MOUSE	O08808	DIAP1_MOUSE	Diaph1	1255	Mus musculus OX=10090	Protein diaphanous homolog 1 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	35	0	35	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 14K(28.0313), 4M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|E9PV41|E9PV41_MOUSE, tr|E9PXV7|E9PXV7_MOUSE
sp|O08810|U5S1_MOUSE	O08810	U5S1_MOUSE	Eftud2	971	Mus musculus OX=10090	116 kDa U5 small nuclear ribonucleoprotein component 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	34	0	34	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 16K(28.0313), 6M(15.9949), N-term(28.0313)		tr|A2AH85|A2AH85_MOUSE, tr|G3UZ34|G3UZ34_MOUSE
sp|O08914|FAAH1_MOUSE	O08914	FAAH1_MOUSE	Faah	579	Mus musculus OX=10090	Fatty-acid amide hydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	80	80	80	     0	     0	     0	10M(15.9949), 11M(15.9949), 12K(28.0313), 16M(15.9949), 18K(28.0313), 22K(28.0313), 6M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|O08915|AIP_MOUSE	O08915	AIP_MOUSE	Aip	330	Mus musculus OX=10090	AH receptor-interacting protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	8	3	8	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|O08917|FLOT1_MOUSE	O08917	FLOT1_MOUSE	Flot1	428	Mus musculus OX=10090	Flotillin-1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	18	0	18	     0	     0	     0	13K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|O08966|S22A1_MOUSE	O08966	S22A1_MOUSE	Slc22a1	556	Mus musculus OX=10090	Solute carrier family 22 member 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	12	6	12	     0	     0	     0	N-term(28.0313)		
sp|O09012|PEX5_MOUSE	O09012	PEX5_MOUSE	Pex5	639	Mus musculus OX=10090	Peroxisomal targeting signal 1 receptor 	1:Experimental evidence at protein level	1.0000	0.9990	11	0	11	58	0	58	     0	     0	     0	12K(28.0313), 21K(28.0313), 22K(28.0313), 23K(28.0313), N-term(28.0313)		tr|D3Z600|D3Z600_MOUSE
sp|O09044|SNP23_MOUSE	O09044	SNP23_MOUSE	Snap23	210	Mus musculus OX=10090	Synaptosomal-associated protein 23 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	15	0	15	     0	     0	     0	10K(28.0313), 19K(28.0313), 4M(15.9949), N-term(28.0313)		tr|B0R030|B0R030_MOUSE, tr|Q9D3L3|Q9D3L3_MOUSE
sp|O09061|PSB1_MOUSE	O09061	PSB1_MOUSE	Psmb1	240	Mus musculus OX=10090	Proteasome subunit beta type-1 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	59	0	59	     0	     0	     0	20K(28.0313), 2M(15.9949), N-term(28.0313)		
sp|O09106|HDAC1_MOUSE	O09106	HDAC1_MOUSE	Hdac1	482	Mus musculus OX=10090	Histone deacetylase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	15	6	15	     0	     0	     0	12K(28.0313), 13K(28.0313), 19K(28.0313), N-term(28.0313)		
sp|O09111|NDUBB_MOUSE	O09111	NDUBB_MOUSE	Ndufb11	151	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	56	56	56	     0	     0	     0	10K(28.0313), 17K(28.0313), 18M(15.9949), 20K(28.0313), 22K(28.0313), 4M(15.9949), 8M(15.9949), N-term(28.0313)		
sp|O09117|SYPL1_MOUSE	O09117	SYPL1_MOUSE	Sypl1	261	Mus musculus OX=10090	Synaptophysin-like protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	     0	     0	     0	11K(28.0313), N-term(28.0313)		
sp|O09131|GSTO1_MOUSE	O09131	GSTO1_MOUSE	Gsto1	240	Mus musculus OX=10090	Glutathione S-transferase omega-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	3	12	56	14	56	     0	     0	     0	10K(28.0313), 16K(28.0313), 1K(28.0313), 2K(28.0313), 5M(15.9949), 6M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O09158|CP3AP_MOUSE	O09158	CP3AP_MOUSE	Cyp3a25	503	Mus musculus OX=10090	Cytochrome P450 3A25 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	27	0	27	     0	     0	     0	11K(28.0313), 5M(15.9949), N-term(28.0313)		
sp|O09159|MA2B1_MOUSE	O09159	MA2B1_MOUSE	Man2b1	1013	Mus musculus OX=10090	Lysosomal alpha-mannosidase 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	27	27	27	     0	     0	     0	11K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|O09164|SODE_MOUSE	O09164	SODE_MOUSE	Sod3	251	Mus musculus OX=10090	Extracellular superoxide dismutase [Cu-Zn] 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	7	7	7	     0	     0	     0	13K(28.0313), N-term(28.0313)		
sp|O09165|CASQ1_MOUSE	O09165	CASQ1_MOUSE	Casq1	405	Mus musculus OX=10090	Calsequestrin-1 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	4	1	4	     0	     0	     0	11K(28.0313), 13K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|O09167|RL21_MOUSE	O09167	RL21_MOUSE	Rpl21	160	Mus musculus OX=10090	60S ribosomal protein L21 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	51	0	51	     0	     0	     0	10M(15.9949), 13M(15.9949), 15K(28.0313), 1K(28.0313), 2M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		tr|Q9CQM8|Q9CQM8_MOUSE
sp|O09172|GSH0_MOUSE	O09172	GSH0_MOUSE	Gclm	274	Mus musculus OX=10090	Glutamate--cysteine ligase regulatory subunit 	1:Experimental evidence at protein level	1.0000	0.9990	7	0	7	49	0	49	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|O09173|HGD_MOUSE	O09173	HGD_MOUSE	Hgd	445	Mus musculus OX=10090	Homogentisate 1,2-dioxygenase 	1:Experimental evidence at protein level	1.0000	0.9990	11	2	11	119	22	119	     0	     0	     0	11K(28.0313), 17K(28.0313), 19K(28.0313), 22K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O09174|AMACR_MOUSE	O09174	AMACR_MOUSE	Amacr	381	Mus musculus OX=10090	Alpha-methylacyl-CoA racemase 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	110	110	110	     0	     0	     0	12K(28.0313), 14K(28.0313), 16K(28.0313), 17K(28.0313), 21M(15.9949), 22K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|O35071|KIF1C_MOUSE	O35071	KIF1C_MOUSE	Kif1c	1100	Mus musculus OX=10090	Kinesin-like protein KIF1C 	1:Experimental evidence at protein level	1.0000	0.9988	4	0	4	7	0	7	     0	     0	     0	11K(28.0313), 12K(28.0313), N-term(28.0313)		tr|E9Q9B0|E9Q9B0_MOUSE
sp|O35114|SCRB2_MOUSE	O35114	SCRB2_MOUSE	Scarb2	478	Mus musculus OX=10090	Lysosome membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	9	32	31	32	     0	     0	     0	7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O35129|PHB2_MOUSE	O35129	PHB2_MOUSE	Phb2	299	Mus musculus OX=10090	Prohibitin-2 	1:Experimental evidence at protein level	1.0000	0.9990	17	6	17	136	48	136	     0	     0	     0	11K(28.0313), 12K(28.0313), 13M(15.9949), 4M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35215|DOPD_MOUSE	O35215	DOPD_MOUSE	Ddt	118	Mus musculus OX=10090	D-dopachrome decarboxylase 	1:Experimental evidence at protein level	1.0000	0.9990	6	1	6	65	4	65	     0	     0	     0	11K(28.0313), 12K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O35226|PSMD4_MOUSE	O35226	PSMD4_MOUSE	Psmd4	376	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	6	32	21	32	     0	     0	     0	11K(28.0313), 12K(28.0313), 14K(28.0313), 17K(28.0313), 1M(15.9949), 25K(28.0313), 3M(15.9949), N-term(28.0313)		
sp|O35250|EXOC7_MOUSE	O35250	EXOC7_MOUSE	Exoc7	697	Mus musculus OX=10090	Exocyst complex component 7 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	8	0	8	     0	     0	     0	10K(28.0313), 16K(28.0313), 17K(28.0313), N-term(28.0313)		tr|A2AAN0|A2AAN0_MOUSE
sp|O35286|DHX15_MOUSE	O35286	DHX15_MOUSE	Dhx15	795	Mus musculus OX=10090	ATP-dependent RNA helicase DHX15 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	30	0	30	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 9K(28.0313), N-term(28.0313)		tr|A0A0G2JG10|A0A0G2JG10_MOUSE, tr|Q497W9|Q497W9_MOUSE
sp|O35295|PURB_MOUSE	O35295	PURB_MOUSE	Purb	324	Mus musculus OX=10090	Transcriptional activator protein Pur-beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	20	20	20	     0	     0	     0	21K(28.0313), N-term(28.0313)		
sp|O35309|NMI_MOUSE	O35309	NMI_MOUSE	Nmi	314	Mus musculus OX=10090	N-myc-interactor 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	5	11	9	11	     0	     0	     0	11K(28.0313), 14K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|O35326|SRSF5_MOUSE	O35326	SRSF5_MOUSE	Srsf5	269	Mus musculus OX=10090	Serine/arginine-rich splicing factor 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	25	0	25	     0	     0	     0	12K(28.0313), 15K(28.0313), N-term(28.0313)		tr|Q9D8S5|Q9D8S5_MOUSE
sp|O35343|IMA3_MOUSE	O35343	IMA3_MOUSE	Kpna4	521	Mus musculus OX=10090	Importin subunit alpha-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	17	0	17	     0	     0	     0	14K(28.0313), 17K(28.0313), N-term(28.0313)		tr|A0A0B4J1E7|A0A0B4J1E7_MOUSE
sp|O35344|IMA4_MOUSE	O35344	IMA4_MOUSE	Kpna3	521	Mus musculus OX=10090	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	6	4	6	31	21	31	     0	     0	     0	10K(28.0313), 13K(28.0313), 14K(28.0313), 18K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35350|CAN1_MOUSE	O35350	CAN1_MOUSE	Capn1	713	Mus musculus OX=10090	Calpain-1 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	19	14	19	     0	     0	     0	12K(28.0313), 13K(28.0313), N-term(28.0313)		
sp|O35381|AN32A_MOUSE	O35381	AN32A_MOUSE	Anp32a	247	Mus musculus OX=10090	Acidic leucine-rich nuclear phosphoprotein 32 family member A 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	43	0	43	     0	     0	     0	11K(28.0313), 1K(28.0313), 6M(15.9949), 9K(28.0313), N-term(28.0313)		tr|D3Z7M9|D3Z7M9_MOUSE
sp|O35382|EXOC4_MOUSE	O35382	EXOC4_MOUSE	Exoc4	975	Mus musculus OX=10090	Exocyst complex component 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	14	5	14	     0	     0	     0	19K(28.0313), N-term(28.0313)		
sp|O35386|PAHX_MOUSE	O35386	PAHX_MOUSE	Phyh	338	Mus musculus OX=10090	Phytanoyl-CoA dioxygenase, peroxisomal 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	105	105	105	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 1M(15.9949), 4K(28.0313), 7M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|O35387|HAX1_MOUSE	O35387	HAX1_MOUSE	Hax1	280	Mus musculus OX=10090	HCLS1-associated protein X-1 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	14	0	14	     0	     0	     0	11K(28.0313), N-term(28.0313)		tr|A0A0G2JDP0|A0A0G2JDP0_MOUSE
sp|O35403|ST3A1_MOUSE	O35403	ST3A1_MOUSE	Sult3a1	293	Mus musculus OX=10090	Amine sulfotransferase 	2:Experimental evidence at transcript level	1.0000	0.9990	6	0	6	19	0	19	     0	     0	     0	11K(28.0313), 8K(28.0313), N-term(28.0313)		tr|Q059N0|Q059N0_MOUSE
sp|O35423|SPYA_MOUSE	O35423	SPYA_MOUSE	Agxt	414	Mus musculus OX=10090	Alanine--glyoxylate aminotransferase 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	100	100	100	     0	     0	     0	10K(28.0313), 16K(28.0313), 19K(28.0313), 1K(28.0313), 2M(15.9949), 6M(15.9949), N-term(28.0313)		
sp|O35435|PYRD_MOUSE	O35435	PYRD_MOUSE	Dhodh	395	Mus musculus OX=10090	Dihydroorotate dehydrogenase (quinone), mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	7	6	7	     0	     0	     0	N-term(28.0313)		
sp|O35459|ECH1_MOUSE	O35459	ECH1_MOUSE	Ech1	327	Mus musculus OX=10090	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	3	9	80	32	80	     0	     0	     0	12K(28.0313), 1M(15.9949), 20K(28.0313), 2M(15.9949), 4M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35465|FKBP8_MOUSE	O35465	FKBP8_MOUSE	Fkbp8	402	Mus musculus OX=10090	Peptidyl-prolyl cis-trans isomerase FKBP8 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	27	18	27	     0	     0	     0	10M(15.9949), 15K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|O35488|S27A2_MOUSE	O35488	S27A2_MOUSE	Slc27a2	620	Mus musculus OX=10090	Very long-chain acyl-CoA synthetase 	1:Experimental evidence at protein level	1.0000	0.9990	16	3	16	180	28	180	     0	     0	     0	11K(28.0313), 12K(28.0313), 12M(15.9949), 13K(28.0313), 14K(28.0313), 16K(28.0313), 20K(28.0313), 22K(28.0313), 4M(15.9949), 5M(15.9949), 6M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|O35490|BHMT1_MOUSE	O35490	BHMT1_MOUSE	Bhmt	407	Mus musculus OX=10090	Betaine--homocysteine S-methyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	19	16	19	626	535	626	     0	     0	     0	10M(15.9949), 13K(28.0313), 16K(28.0313), 17K(28.0313), 19K(28.0313), 22K(28.0313), 24K(28.0313), 6M(15.9949), 7K(28.0313), 7M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35551|RABE1_MOUSE	O35551	RABE1_MOUSE	Rabep1	862	Mus musculus OX=10090	Rab GTPase-binding effector protein 1 	1:Experimental evidence at protein level	1.0000	0.9957	5	0	5	9	0	9	     0	     0	     0	10K(28.0313), 11K(28.0313), 19K(28.0313), N-term(28.0313)		tr|J3QJV7|J3QJV7_MOUSE
sp|O35593|PSDE_MOUSE	O35593	PSDE_MOUSE	Psmd14	310	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	21	21	21	     0	     0	     0	11K(28.0313), 13K(28.0313), 1M(15.9949), 5M(15.9949), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|O35604|NPC1_MOUSE	O35604	NPC1_MOUSE	Npc1	1277	Mus musculus OX=10090	NPC intracellular cholesterol transporter 1 	1:Experimental evidence at protein level	1.0000	0.9971	3	3	3	4	4	4	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|O35609|SCAM3_MOUSE	O35609	SCAM3_MOUSE	Scamp3	349	Mus musculus OX=10090	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	18	0	18	     0	     0	     0	N-term(28.0313)		tr|E9Q855|E9Q855_MOUSE, tr|Q3UXS0|Q3UXS0_MOUSE
sp|O35623|BET1_MOUSE	O35623	BET1_MOUSE	Bet1	118	Mus musculus OX=10090	BET1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	10	10	10	     0	     0	     0	11K(28.0313), 18K(28.0313), 5M(15.9949), N-term(28.0313)		
sp|O35639|ANXA3_MOUSE	O35639	ANXA3_MOUSE	Anxa3	323	Mus musculus OX=10090	Annexin A3 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	8	35	19	35	     0	     0	     0	11K(28.0313), 12K(28.0313), N-term(28.0313)		
sp|O35643|AP1B1_MOUSE	O35643	AP1B1_MOUSE	Ap1b1	943	Mus musculus OX=10090	AP-1 complex subunit beta-1 	1:Experimental evidence at protein level	1.0000	0.9990	12	0	12	52	0	52	     0	     0	     0	10K(28.0313), 13K(28.0313), 15K(28.0313), 17K(28.0313), 19K(28.0313), 30K(28.0313), 5M(15.9949), 8K(28.0313), N-term(28.0313)		tr|Q5SVG4|Q5SVG4_MOUSE, tr|Q5SVG5|Q5SVG5_MOUSE
sp|O35660|GSTM6_MOUSE	O35660	GSTM6_MOUSE	Gstm6	218	Mus musculus OX=10090	Glutathione S-transferase Mu 6 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	39	0	39	     0	     0	     0	13K(28.0313), 17K(28.0313), 3M(15.9949), 7K(28.0313), 8K(28.0313), N-term(28.0313)		tr|G5E8M7|G5E8M7_MOUSE
sp|O35685|NUDC_MOUSE	O35685	NUDC_MOUSE	Nudc	332	Mus musculus OX=10090	Nuclear migration protein nudC 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	82	82	82	     0	     0	     0	10K(28.0313), 11K(28.0313), 11M(15.9949), 12K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 2M(15.9949), 7K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|O35691|PININ_MOUSE	O35691	PININ_MOUSE	Pnn	725	Mus musculus OX=10090	Pinin 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	12	0	12	     0	     0	     0	12K(28.0313), 16K(28.0313), 17K(28.0313), N-term(28.0313)		tr|Q3TUQ5|Q3TUQ5_MOUSE
sp|O35711|LIPB2_MOUSE	O35711	LIPB2_MOUSE	Ppfibp2	882	Mus musculus OX=10090	Liprin-beta-2 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	6	0	6	     0	     0	     0	13K(28.0313), 14K(28.0313), 24M(15.9949), N-term(28.0313)		tr|G3X957|G3X957_MOUSE
sp|O35728|CP4AE_MOUSE	O35728	CP4AE_MOUSE	Cyp4a14	507	Mus musculus OX=10090	Cytochrome P450 4A14 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	24	24	24	     0	     0	     0	10K(28.0313), 11K(28.0313), N-term(28.0313)		
sp|O35737|HNRH1_MOUSE	O35737	HNRH1_MOUSE	Hnrnph1	449	Mus musculus OX=10090	Heterogeneous nuclear ribonucleoprotein H 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	31	0	31	     0	     0	     0	11K(28.0313), 17K(28.0313), N-term(28.0313)		tr|Q8C2Q7|Q8C2Q7_MOUSE
sp|O35744|CHIL3_MOUSE	O35744	CHIL3_MOUSE	Chil3	398	Mus musculus OX=10090	Chitinase-like protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	1	3	6	1	6	     0	     0	     0	12K(28.0313), 15K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35841|API5_MOUSE	O35841	API5_MOUSE	Api5	504	Mus musculus OX=10090	Apoptosis inhibitor 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	28	28	28	     0	     0	     0	12K(28.0313), 16K(28.0313), N-term(28.0313)		
sp|O35857|TIM44_MOUSE	O35857	TIM44_MOUSE	Timm44	452	Mus musculus OX=10090	Mitochondrial import inner membrane translocase subunit TIM44 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	47	47	47	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 15K(28.0313), 1K(28.0313), 3M(15.9949), N-term(28.0313)		
sp|O35864|CSN5_MOUSE	O35864	CSN5_MOUSE	Cops5	334	Mus musculus OX=10090	COP9 signalosome complex subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	8	4	8	31	17	31	     0	     0	     0	14K(28.0313), 15K(28.0313), 19K(28.0313), 3K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O35900|LSM2_MOUSE	O35900	LSM2_MOUSE	Lsm2	95	Mus musculus OX=10090	U6 snRNA-associated Sm-like protein LSm2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	15	0	15	     0	     0	     0	11K(28.0313), N-term(28.0313)		tr|O35901|O35901_MOUSE
sp|O35943|FRDA_MOUSE	O35943	FRDA_MOUSE	Fxn	207	Mus musculus OX=10090	Frataxin, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	3	4	20	15	20	     0	     0	     0	12K(28.0313), 19K(28.0313), N-term(28.0313)		
sp|O35945|AL1A7_MOUSE	O35945	AL1A7_MOUSE	Aldh1a7	501	Mus musculus OX=10090	Aldehyde dehydrogenase, cytosolic 1 	1:Experimental evidence at protein level	1.0000	0.9990	14	13	14	176	171	176	     0	     0	     0	11K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 19K(28.0313), 27M(15.9949), 2M(15.9949), 31K(28.0313), 4M(15.9949), 6M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), 9M(15.9949), N-term(28.0313)		
sp|O35969|GAMT_MOUSE	O35969	GAMT_MOUSE	Gamt	236	Mus musculus OX=10090	Guanidinoacetate N-methyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	28	28	28	     0	     0	     0	14K(28.0313), 18K(28.0313), 23K(28.0313), 7M(15.9949), 8M(15.9949), N-term(28.0313)		
sp|O35988|SDC4_MOUSE	O35988	SDC4_MOUSE	Sdc4	198	Mus musculus OX=10090	Syndecan-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	15	15	15	     0	     0	     0	10K(28.0313), 12K(28.0313), N-term(28.0313)		
sp|O54692|ZW10_MOUSE	O54692	ZW10_MOUSE	Zw10	779	Mus musculus OX=10090	Centromere/kinetochore protein zw10 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	9	9	9	     0	     0	     0	11K(28.0313), 16K(28.0313), 5M(15.9949), N-term(28.0313)		
sp|O54724|CAVN1_MOUSE	O54724	CAVN1_MOUSE	Cavin1	392	Mus musculus OX=10090	Caveolae-associated protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	41	41	41	     0	     0	     0	15K(28.0313), 17K(28.0313), 2M(15.9949), 4M(15.9949), 9K(28.0313), N-term(28.0313)		
